LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0002523149-0001-3,MARTIN GARCIA RODRIGUEZ,GARCIA'S MINI MARKET,3803 S MAIN STREET,LOS ANGELES,90037-1417,3803 MAIN 90037-1417,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),9,10/01/2010,,"(34.0129, -118.274)"
0000467986-0001-0,KAREEN M SANTANA/MARIA M SANCHEZ,BO'S MARKET | BO'S MINI MARKET,11701 S BROADWAY,LOS ANGELES,90061-1813,11701 BROADWAY 90061-1813,11701 S BROADWAY,LOS ANGELES,90061-1813,445100,Grocery stores (including supermarkets & convenience stores without gas),15,01/01/2001,,"(33.9272, -118.2782)"
0003195211-0001-6,FADY ONE STOP AUTO INC,FADY ONE STOP AUTO,1460 S LA CIENEGA BLVD,LOS ANGELES,90035-3715,1460 LA CIENEGA 90035,1460 S LA CIENEGA BLVD,LOS ANGELES,90035-3715,445100,Grocery stores (including supermarkets & convenience stores without gas),10,01/01/2020,,"(34.0512, -118.3758)"
0003195194-0001-1,KOSHER EXPRESS LLC,,1606 S SHENANDOAH STREET   FRONT,LOS ANGELES,90035-4413,1606 SHENANDOAH 90035,1606 S SHENANDOAH STREET   FRONT,LOS ANGELES,90035-4413,445100,Grocery stores (including supermarkets & convenience stores without gas),5,05/20/2020,,"(34.0498, -118.3819)"
0003209825-0001-4,BRAULIO VAZQUEZ GARCIA,PUEBLA PRODUCE,1008 E 8TH STREET,LOS ANGELES,90021-0021,1008 8TH 90021,1008 E 8TH STREET,LOS ANGELES,90021-0021,445100,Grocery stores (including supermarkets & convenience stores without gas),14,07/01/2020,,"(34.0353, -118.2459)"
0003132500-0001-2,RUNA 1987 INC,CENTRAL LIQUOR,7727 S CENTRAL AVENUE,LOS ANGELES,90001-2941,7727 CENTRAL 90001-2941,2529   FOOTHILL BLVD   #101,LA CRESCENTA,91214-3522,445100,Grocery stores (including supermarkets & convenience stores without gas),9,07/10/2019,,"(33.9689, -118.2565)"
0003210418-0001-2,EL CANEY MEAT MARKET INC,,4600   MAPLEWOOD AVENUE,LOS ANGELES,90004-1809,4600 MAPLEWOOD 90004,4600   MAPLEWOOD AVENUE,LOS ANGELES,90004-1809,445100,Grocery stores (including supermarkets & convenience stores without gas),13,01/24/2020,,"(34.0796, -118.3048)"
0002944237-0001-1,JOHN SHIN & YUN SHIN,7-ELEVEN STORE 37709A,1902   MARENGO STREET   SUITE #101,LOS ANGELES,90033-1317,1902 MARENGO 90033-1317,POST OFFICE BOX #219088,DALLAS,75221-9088,445100,Grocery stores (including supermarkets & convenience stores without gas),14,11/10/2016,,"(34.0575, -118.2102)"
0002168100-0002-6,ESTEBAN HERNANDEZ / ROSANA GOMEZ,HAELY'S WATER STORE MINI MARKET,1063 E 42ND STREET    #G,LOS ANGELES,90011-3138,1063 42ND 90011-3138,1042 E 49TH PLACE,LOS ANGELES,90011-4106,445100,Grocery stores (including supermarkets & convenience stores without gas),9,07/01/2013,,"(34.0076, -118.2564)"
0003135860-0001-1,JOSE CARBAJAL,DD'S DELI & MINI MARKET,1432 W FLORENCE AVENUE   BUILDING #A,LOS ANGELES,90047-2209,1432 FLORENCE 90047,1432 W FLORENCE AVENUE   BUILDING #A,LOS ANGELES,90047-2209,445100,Grocery stores (including supermarkets & convenience stores without gas),8,07/01/2019,,"(33.9743, -118.3016)"
0002683259-0002-7,SHETU SHATHI INC,JK MARKET,6333 S BROADWAY,LOS ANGELES,90003-1431,6333 BROADWAY 90003-1431,4228 S WESTERN AVENUE,LOS ANGELES,90062-1642,445100,Grocery stores (including supermarkets & convenience stores without gas),9,03/01/2016,,"(33.9817, -118.2784)"
0003165441-0001-4,ELVIRA LOPEZ,,142 E MARTIN LUTHER KING JR BLVD,LOS ANGELES,90011-2652,142 MARTIN LUTHER KING JR 90011-2652,142 E MARTIN LUTHER KING JR BLVD,LOS ANGELES,90011-2652,445100,Grocery stores (including supermarkets & convenience stores without gas),9,07/01/2019,,"(34.011, -118.2723)"
0000178218-0016-1,RALPHS GROCERY CO,RALPHS GROCERY #283,5080 RODEO ROAD,LOS ANGELES,90016-4706,5080 RODEO 90016-4706,POST OFFICE BOX #54143,LOS ANGELES,90054-0143,445100,Grocery stores (including supermarkets & convenience stores without gas),10,09/27/1981,,"(34.0215, -118.3551)"
0003073859-0001-3,ZEYTUN GROCERY AND DELI INC,,5135 W SUNSET BLVD,LOS ANGELES,90027-5715,5135 SUNSET 90027-5715,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),13,08/15/2018,,"(34.0982, -118.3017)"
0000178218-0007-2,RALPHS GROCERY CO,RALPHS GROCERY CO #266,11922 S VERMONT AVENUE,LOS ANGELES,90044-4054,11922 VERMONT 90044-4054,POST OFFICE BOX #54143,LOS ANGELES,90054-0143,445100,Grocery stores (including supermarkets & convenience stores without gas),15,04/01/1959,,"(33.9247, -118.2915)"
0002993235-0001-6,ANGELA DIAZ & YOLANDA DIAZ,RAY AND ROY'S MARKET,2800   4TH AVENUE,LOS ANGELES,90018-2931,2800 4TH 90018-2931,2826   4TH,LOS ANGELES,90033-0000,445100,Grocery stores (including supermarkets & convenience stores without gas),10,06/26/2017,,"(34.0295, -118.321)"
0003019494-0001-8,C S & C TORRES CORP,DTLA GROCERY OUTLET,1120 W 6TH STREET   SUITE #103,LOS ANGELES,90017-4905,1120 6TH 90017-4905,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),1,01/25/2018,,"(34.0543, -118.2629)"
0002899064-0001-4,DANELIA ALMANZAR,MINI MARKET DON JOSE,4811 S WESTERN AVENUE,LOS ANGELES,90062-2325,4811 WESTERN 90062-2325,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),8,03/28/2016,,"(33.9999, -118.309)"
0002846318-0001-5,MARIO G. ZUNIGA,ZUNIGA'S MARKET,3033 W 6TH STREET SUITE #102,LOS ANGELES,90020-1543,3033 6TH 90020-1543,3033 W 6TH STREET SUITE #102,LOS ANGELES,90020-1543,445100,Grocery stores (including supermarkets & convenience stores without gas),10,08/05/2015,,"(34.0636, -118.2874)"
0000007875-0001-3,CARLOS & MARIBEL GONZALEZ,EL PRINCIPIO MARKET #2,2301 MAPLE AVENUE,LOS ANGELES,90011-1407,2301 MAPLE 90011-1407,2301 MAPLE AVENUE,LOS ANGELES,90011-1407,445100,Grocery stores (including supermarkets & convenience stores without gas),9,04/20/1992,,"(34.0258, -118.2639)"
0000005583-0001-9,MARIA DE JESUS FERNANDEZ,EL MOLINO MEXICAN DELICATESSEN,1573 W ADAMS BLVD,LOS ANGELES,90007-1514,1573 ADAMS 90007-1514,24625 POLARIS DRIVE,MORENO VALLEY,92551-7487,445100,Grocery stores (including supermarkets & convenience stores without gas),8,05/01/1974,,"(34.0327, -118.2964)"
0000413353-0009-1,SUPER CENTER CONCEPTS INC,SUPERIOR GROCERS,3480 S LA BREA AVENUE,LOS ANGELES,90016-5258,3480 LA BREA 90016-5258,15510   CARMENITA ROAD,SANTA FE SPRINGS,90670-5610,445100,Grocery stores (including supermarkets & convenience stores without gas),10,11/05/2012,,"(34.024, -118.3554)"
0002841199-0001-6,SABB INC,SABB MARKET,8922 S CENTRAL AVENUE,LOS ANGELES,90002-1738,8922 CENTRAL 90002-1738,1239 W ROSECRANS AVENUE   #35,GARDENA,90247-2574,445100,Grocery stores (including supermarkets & convenience stores without gas),9,07/15/2015,,"(33.9554, -118.2564)"
0002733113-0002-1,MARIA DOLORES FUENTES MONDRAGON,LUPITAS 99 & UP MINI MARKET,8319 S MAIN STREET   UNIT #104,LOS ANGELES,90003-2917,8319 MAIN 90003-2917,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),9,04/09/2019,,"(33.9635, -118.2743)"
0002969754-0002-2,"3128 SUNSET, LLC",SILVERLAKE DRIVE THRU,3140 W SUNSET BLVD,LOS ANGELES,90026-2132,3140 SUNSET 90026-2132,859 N VIRGIL AVENUE SUITE #B,LOS ANGELES,90029-2981,445100,Grocery stores (including supermarkets & convenience stores without gas),13,08/21/2020,,
0002848891-0001-8,DANA E AVILA,TIENDA  SAN RAFAEL,5121 S VERMONT AVENUE,LOS ANGELES,90037-3515,5121 VERMONT 90037-3515,1043 W 49TH STREET,LOS ANGELES,90037-2921,445100,Grocery stores (including supermarkets & convenience stores without gas),9,08/10/2015,,"(33.9963, -118.2915)"
0003211198-0001-4,HUGO FLORES RIVERA,LA CHIQUITA MINI STORE,3709 E CESAR E CHAVEZ AVENUE,LOS ANGELES,90063-2218,3709 CESAR E CHAVEZ 90063,1208 W 98TH STREET,LOS ANGELES,90044-1826,445100,Grocery stores (including supermarkets & convenience stores without gas),0,11/02/2020,,"(34.0407, -118.1856)"
0002774314-0001-6,JORGE A RODRIGUEZ NAVA,GUAPOS MARKET,744 S VERMONT AVENUE,LOS ANGELES,90005-1520,744 VERMONT 90005-1520,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),10,08/15/2014,,"(34.0586, -118.2916)"
0002970510-0001-6,FATMA ELMAGHRBY,L.A. MINI MARKET,100 E CENTURY BLVD   SUITE #C,LOS ANGELES,90003-4710,100 CENTURY 90003-4710,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),8,03/01/2017,,"(33.9453, -118.2735)"
0000413353-0004-0,SUPER CENTER CONCEPTS INC,SUPERIOR GROCERS #108 | SUPERIOR SUPER WAREHOUSE,8811 S WESTERN AVENUE,LOS ANGELES,90047-3329,8811 WESTERN 90047-3329,15510   CARMENITA ROAD,SANTA FE SPRINGS,90670-5610,445100,Grocery stores (including supermarkets & convenience stores without gas),8,12/12/1997,,"(33.9579, -118.309)"
0002582986-0001-1,SERGIO ESTRADA AVILA,TERRYS MINI MARKET,11102 S FIGUEROA STREET,LOS ANGELES,90061-1532,11102 FIGUEROA 90061-1532,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),15,07/01/2011,,"(33.9347, -118.2825)"
0003194822-0001-6,GLORIA CARAVANTES DE GALDAMEZ,MERCY MINI MARKET,4075   BEVERLY BLVD   UNIT #A,LOS ANGELES,90004-3333,4075 BEVERLY 90004,4075   BEVERLY BLVD   UNIT #A,LOS ANGELES,90004-3333,445100,Grocery stores (including supermarkets & convenience stores without gas),13,04/29/2020,,"(34.0764, -118.2978)"
0000413353-0005-8,SUPER CENTER CONCEPTS INC,SUPERIOR GROCERS,5824 S VERMONT AVENUE,LOS ANGELES,90044-3712,5824 VERMONT 90044-3712,15510   CARMENITA ROAD,SANTA FE SPRINGS,90670-5610,445100,Grocery stores (including supermarkets & convenience stores without gas),9,06/27/2003,,"(33.9891, -118.2914)"
0002820157-0001-2,DERRICK A HARVEY,RIGHT CHOICE CARIBBEAN MARKET,4233 CRENSHAW BLVD,LOS ANGELES,90008-2536,4233 CRENSHAW 90008-2536,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),10,04/03/2015,,"(34.0065, -118.3345)"
0002368014-0001-2,HOROS LLC,LOCALI,5825 FRANKLIN AVENUE,LOS ANGELES,90028-5609,5825 FRANKLIN 90028-5609,1916 N SERRANO AVENUE,LOS ANGELES,90027-1622,445100,Grocery stores (including supermarkets & convenience stores without gas),13,07/01/2008,,"(34.1052, -118.3163)"
0002761827-0001-6,JESUS COUTINO,ARTURO'S DISCOUNT,2808 S CENTRAL AVENUE,LOS ANGELES,90011-2037,2808 CENTRAL 90011-2037,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),9,07/11/2014,,"(34.0165, -118.2558)"
0003264114-0001-1,"UNION 1517, INC.",VIRGIL FARM MARKET,868 N VIRGIL AVENUE,LOS ANGELES,90029-2941,868 VIRGIL 90029,868 N VIRGIL AVENUE,LOS ANGELES,90029-2941,445100,Grocery stores (including supermarkets & convenience stores without gas),13,08/05/2021,,"(34.0871, -118.2867)"
0002691421-0001-0,SATNAM SINGH/SATVINDER VALERIE SINGH,SUNNY LIQUOR & MARKET,12815 VENICE BLVD,LOS ANGELES,90066-3507,12815 VENICE 90066-3507,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),11,06/28/2013,,
0003140972-0001-1,"H MART ECC, LLC",,3500 W 6TH STREET,LOS ANGELES,90020-5802,3500 6TH 90020-5802,300   CHUBB AVENUE,LYNDHURST,07071-3502,445100,Grocery stores (including supermarkets & convenience stores without gas),10,09/01/2019,,"(34.0632, -118.2986)"
0002723020-0002-6,ROBERTO GARDUNO ROJAS,EL SIN FIN MINI MARKET,7522 S HOOVER STREET,LOS ANGELES,90044-6008,7522 HOOVER 90044-6008,7526 S HOOVER STREET,LOS ANGELES,90044-6008,445100,Grocery stores (including supermarkets & convenience stores without gas),8,08/15/2017,,"(33.971, -118.2869)"
0002832635-0002-6,NAHNOOM CORP,SOTO ST MARKET,900 N SOTO STREET,LOS ANGELES,90033-1923,900 SOTO 90033-1923,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),14,04/01/2017,,"(34.0521, -118.2041)"
0003247016-0001-1,MOK-RAN HWANG,CATALINA LIQUOR ON 8TH,3130 W 8TH STREET,LOS ANGELES,90005-1903,3130 8TH 90005,3130 W 8TH STREET,LOS ANGELES,90005-1903,445100,Grocery stores (including supermarkets & convenience stores without gas),10,01/01/2021,,"(34.0576, -118.2958)"
0002927758-0001-2,BOBS FOOD MARKET AND LIQUOR INC,,10000   NATIONAL BLVD,LOS ANGELES,90034-3809,10000 NATIONAL 90034-3809,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),5,07/01/2016,,"(34.0288, -118.4033)"
0003001703-0001-1,MARNIE REGINA LYLES,RENEW WELLNESS,5448   SANCHEZ DRIVE,LOS ANGELES,90008-1029,5448 SANCHEZ 90008-1029,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),10,08/14/2017,,"(34.0167, -118.3642)"
0002482193-0001-0,GOURMET MARKET & SPIRITS INC,,716 S LOS ANGELES STREET UNIT #A,LOS ANGELES,90014-2138,716 LOS ANGELES 90014-2138,621 S SPRING STREET SUITE #205,LOS ANGELES,90014-3917,445100,Grocery stores (including supermarkets & convenience stores without gas),14,06/16/2010,,"(34.0428, -118.2509)"
0003017557-0001-1,DANIEL DEMOZ / ROHA DANEL,PICO SMOKE SHOP AND MARKET,3160 W PICO BLVD,LOS ANGELES,90019-0019,3160 PICO 90019-0019,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),10,11/16/2017,,"(34.047, -118.311)"
0002235963-0005-6,"G AND J GROSS, INC.",MICKEY FINE AT WATT PLAZA,1875   CENTURY PARKS  E SUITE #E,LOS ANGELES,90067-2337,1875 CENTURY 90067-2337,433 N ROXBURY DRIVE,BEVERLY HILLS,90210-5001,445100,Grocery stores (including supermarkets & convenience stores without gas),5,12/01/2018,,"(34.061, -118.4149)"
0002859363-0001-9,ERIC PARRA,MOTHERS AND BABIES NUTRITION,4269 S VERMONT AVENUE,LOS ANGELES,90037-2463,4269 VERMONT 90037-2463,7249   SOMERSET BLVD,PARAMOUNT,90723-3907,445100,Grocery stores (including supermarkets & convenience stores without gas),9,10/07/2015,,"(34.0059, -118.2915)"
0000554496-0021-4,TRADER JOE'S CO,TRADER JOE'S #250,3131 S HOOVER STREET   SUITE #1920,LOS ANGELES,90089-8500,3131 HOOVER 90089-8500,POST OFFICE BOX #5049,MONROVIA,91017-7149,445100,Grocery stores (including supermarkets & convenience stores without gas),9,07/28/2017,,"(34.0266, -118.284)"
0003137917-0001-7,HUIQING JIANG,EAST L.A MARKET,3318   CITY TERRACE DRIVE,LOS ANGELES,90063-3842,3318 CITY TERRACE 90063,3435   WILSHIRE BLVD   SUITE #1040,LOS ANGELES,90010-1919,445100,Grocery stores (including supermarkets & convenience stores without gas),0,01/01/2019,,"(34.0489, -118.189)"
0002989290-0001-2,JUAN D SALGADO,EL REGALO MARKET,6020 E OLYMPIC BLVD,LOS ANGELES,90022-5213,6020 OLYMPIC 90022-5213,6020 E OLYMPIC BLVD,LOS ANGELES,90022-5213,445100,Grocery stores (including supermarkets & convenience stores without gas),0,01/06/2016,,"(34.0131, -118.1433)"
0000782345-0001-4,KYUNG JIN OH,GOK JEE FOODS,170 S WESTERN AVENUE #A,LOS ANGELES,90004-4128,170 WESTERN 90004-4128,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),10,04/02/2003,,"(34.0716, -118.3091)"
0003210125-0001-8,CARLOS B GOMEZ,JELIAN'S DISCOUNT STORE,5710 S WESTERN AVENUE,LOS ANGELES,90062-2713,5710 WESTERN 90062,5710 S WESTERN AVENUE,LOS ANGELES,90062-2713,445100,Grocery stores (including supermarkets & convenience stores without gas),8,09/01/2020,,"(33.9902, -118.3086)"
0003208498-0001-3,JUAN OROZCO,OROZCO'S CAKE BAKERY,2206 S CENTRAL AVENUE,LOS ANGELES,90011-1239,2206 CENTRAL 90011,2206 S CENTRAL AVENUE,LOS ANGELES,90011-1239,445100,Grocery stores (including supermarkets & convenience stores without gas),9,08/20/2020,,"(34.0214, -118.2531)"
0002898288-0001-9,RIGOBERTO GONZALEZ,TIENDA GONZALEZ,600 S ALVARADO STREET   SUITE #119,LOS ANGELES,90057-3314,600 ALVARADO 90057-3314,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),1,02/26/2016,,"(34.0595, -118.2748)"
0003122610-0001-8,EVA QUINTERO,WATER BOY PLUS,3115   WABASH AVENUE,LOS ANGELES,90063-2719,3115 WABASH 90063-2719,3115   WABASH AVENUE,LOS ANGELES,90063-2719,445100,Grocery stores (including supermarkets & convenience stores without gas),14,03/01/2019,,"(34.049, -118.1937)"
0002922956-0001-3,H & R CORPORATION,7-ELEVEN STORE 39477A,3477 W OLYMPIC BLVD,LOS ANGELES,90019-2125,3477 OLYMPIC 90019-2125,POST OFFICE BOX #219088,DALLAS,75221-9088,445100,Grocery stores (including supermarkets & convenience stores without gas),4,05/16/2016,,"(34.0527, -118.3142)"
0000032242-0007-1,SMART & FINAL STORES LLC,SMART & FINAL #363,939 N WESTERN AVENUE,LOS ANGELES,90029-3246,939 WESTERN 90029-3246,POST OFFICE BOX #512377,LOS ANGELES,90051-0377,445100,Grocery stores (including supermarkets & convenience stores without gas),13,01/01/1953,,"(34.0876, -118.3091)"
0000178218-0055-2,RALPHS GROCERY CO,RALPHS GROCERY CO #210,11727 W OLYMPIC BLVD,LOS ANGELES,90064-1202,11727 OLYMPIC 90064-1202,POST OFFICE BOX #54143,LOS ANGELES,90054-0143,445100,Grocery stores (including supermarkets & convenience stores without gas),11,09/01/1995,,"(34.0338, -118.4485)"
0002982711-0002-6,AHMED H IBRAHIM,CNA #2 MINIMART,8631 S FIGUEROA STREET,LOS ANGELES,90003-3211,8631 FIGUEROA 90003-3211,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),8,09/01/2020,,"(33.9592, -118.2831)"
0000032242-0033-1,SMART & FINAL STORES LLC,,1833 S LA CIENEGA BLVD   #B,LOS ANGELES,90035-4662,1833 LA CIENEGA 90035-4662,POST OFFICE BOX #512377,LOS ANGELES,90051-0377,445100,Grocery stores (including supermarkets & convenience stores without gas),10,01/01/2016,,"(34.0432, -118.3769)"
0002899648-0001-4,J & R MARKET LLC,J & R MARKET,4077   AVALON BLVD,LOS ANGELES,90011-5644,4077 AVALON 90011-5644,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),9,03/23/2016,,"(34.0094, -118.2656)"
0002573075-0007-9,SF MARKETS LLC,SPROUTS # 437,1302 S LA BREA AVENUE   SUITE #C,LOS ANGELES,90019-2915,1302 LA BREA 90019-2915,5455 E HIGH STREET   UNIT #111,PHOENIX,85054-5464,445100,Grocery stores (including supermarkets & convenience stores without gas),10,06/26/2019,,"(34.0491, -118.344)"
0003210423-0001-3,SUNNY LATINO MARKET INC,,2100 W FLORENCE AVENUE,LOS ANGELES,90047-2137,2100 FLORENCE 90047,2100 W FLORENCE AVENUE,LOS ANGELES,90047-2137,445100,Grocery stores (including supermarkets & convenience stores without gas),8,01/24/2020,,"(33.9743, -118.3158)"
0003193597-0001-2,MOCHINUT INC,,3429 W OLYMPIC BLVD    #201,LOS ANGELES,90019-2280,3429 Olympic 90019-2280,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),4,05/01/2020,,"(34.0529, -118.3129)"
0002867168-0001-7,"ROYAL DELI MARKET, INC.",,410 W 6TH STREET SUITE #A,LOS ANGELES,90014-1402,410 6TH 90014,410 W 6TH STREET SUITE #A,LOS ANGELES,90014-1402,445100,Grocery stores (including supermarkets & convenience stores without gas),14,12/01/2015,,"(34.0474, -118.2531)"
0000627301-0002-2,"HANSUNG & MYUNGHEE, INC.",LEE'S MARKET,2930 W PICO BLVD,LOS ANGELES,90006-3807,2930 PICO 90006-3807,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),10,08/05/2009,,"(34.0472, -118.304)"
0003195083-0001-4,CALIFORNIA'S FAVORITE C-STORE COMPANY,7-ELEVEN STORE 38954A,3785   WILSHIRE BLVD   SUITE #104,LOS ANGELES,90010-2899,3785 WILSHIRE 90010,POST OFFICE BOX #219088,DALLAS,75221-9088,445100,Grocery stores (including supermarkets & convenience stores without gas),10,05/04/2020,,"(34.0628, -118.3087)"
0002928456-0001-6,JORGE ALBERTO RAMOS,HOOVER STORE,7829 S HOOVER STREET,LOS ANGELES,90044-6031,7829 HOOVER 90044-6031,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),8,08/20/2016,,"(33.9684, -118.2874)"
0002485518-0001-8,HOE AE CHUNG,VENUS MARKET,10117 AVALON BLVD,LOS ANGELES,90003-4817,10117 AVALON 90003-4817,10117 AVALON BLVD,LOS ANGELES,90003-4817,445100,Grocery stores (including supermarkets & convenience stores without gas),8,02/12/2010,,"(33.9442, -118.2651)"
0003148561-0001-9,BROWN ENTERPRISES LLC,GRAB N DASH,1535 W MANCHESTER AVENUE,LOS ANGELES,90047-5425,1535 MANCHESTER 90047-5425,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),14,09/11/2019,,"(33.9667, -118.2936)"
0000572435-0001-1,MEADOW MAID MARKET INC,MEADOW MALD MARKET,5393 ALHAMBRA AVENUE,LOS ANGELES,90032-3411,5393 ALHAMBRA 90032-3411,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),14,11/20/2001,,"(34.0769, -118.1683)"
0003148786-0001-5,GRACE & H INC,STEW'S MILK MARKET,5117 HUNTINGTON DRIVE N,LOS ANGELES,90032-1701,5117 Huntington 90032-1701,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),14,09/06/2019,,"(34.0899, -118.1704)"
0002493164-0001-7,ARTEMIO SADOT MARTINEZ/ MARIA MAGDALENA CRUZ,MINI MARKET GUADALUPANA,5726 SANTA MONICA BLVD,LOS ANGELES,90038-3202,5726 SANTA MONICA 90038-3202,982 N EL CENTRO AVENUE,LOS ANGELES,90038-3014,445100,Grocery stores (including supermarkets & convenience stores without gas),13,03/23/2010,,"(34.0907, -118.3145)"
0002404845-0001-1,ELIA CABRERA LEON,MONTOYA'S MINI MARKET,6726 S SAN PEDRO STREET,LOS ANGELES,90003-1940,6726 SAN PEDRO 90003-1940,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),9,01/01/2009,,"(33.9785, -118.2695)"
0002588807-0001-1,HONORIO RAMIREZ,LA TIA MARQUET,147 W WASHINGTON BLVD,LOS ANGELES,90015-3544,147 WASHINGTON 90015-3544,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),9,10/01/2011,,"(34.0316, -118.2658)"
0000190261-0001-4,DAWIT BELAY,MERKATO,1036 1/2 S FAIRFAX AVENUE,LOS ANGELES,90019-4401,1036 FAIRFAX 90019-4401,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),10,06/28/1995,,"(34.0573, -118.3642)"
0003142687-0001-8,ERIC CASTILLO,CASTILLOS MARKET,4828 S FIGUEROA STREET,LOS ANGELES,90037-3342,4828 FIGUEROA 90037-3342,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),9,07/01/2019,,"(33.9986, -118.2825)"
0002275747-0001-3,NICOLAS GARCIA PEREZ,GARCIA'S MARKET,1177 W VERNON AVENUE,LOS ANGELES,90037-2444,1177 VERNON 90037-2444,16515 VAN NESS AVENUE,TORRANCE,90504-1937,445100,Grocery stores (including supermarkets & convenience stores without gas),9,09/18/2007,,"(34.0036, -118.2953)"
