X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,email,dis_status,POINT_X,POINT_Y
-117.748468057866,34.0578649676826,11967,HSIP Freedom CollegesUniversities,372000,Education,Colleges and Universities,,LA County,Thuy Princess Beauty College,252 E Second St,,Pomona,CA,,9096206893,,,27,12784,,91766,http://egis3.lacounty.gov/lms/?p=12784,publish,34.057865,-117.748468,2010/11/01 19:50:56+00,,,6637857.22711714,1843533.91261815
-118.255112056745,34.1485459669494,11968,HSIP Freedom CollegesUniversities,372028,Education,Colleges and Universities,,LA County,North-West College-Glendale,221 North Brand,,Glendale,CA,,8182420205,www.northwestcollege.com,,116,12785,,91203,http://egis3.lacounty.gov/lms/?p=12785,publish,34.148546,-118.255112,2010/11/01 19:50:56+00,,,6484482.83406338,1876537.04575872
-118.023570057048,34.0289199667418,11969,HSIP Freedom CollegesUniversities,372037,Education,Colleges and Universities,,LA County,Everest College-City Of Industry,12801 Crossroads Parkway South,,City Of Industry,CA,,5629082500,www.everest.edu/campus/city_of_industry,,329,12786,,91746,http://egis3.lacounty.gov/lms/?p=12786,publish,34.02892,-118.02357,2010/11/01 19:50:56+00,,,6554528.69954881,1832905.7675359
-118.098966056702,33.868222967031,11970,HSIP Freedom CollegesUniversities,372073,Education,Colleges and Universities,,LA County,Fremont College,18000 Studebaker Road Suite 900A,,Cerritos,CA,,5628095100,www.fremont.edu,,146,12787,,90703,http://egis3.lacounty.gov/lms/?p=12787,publish,33.868223,-118.098966,2010/11/01 19:50:56+00,,,6531626.39791255,1774438.55048107
-118.331741055758,34.0042389668274,11971,HSIP Freedom CollegesUniversities,372240,Education,Colleges and Universities,,LA County,Universal College Of Beauty Inc,3419 W 43Rd Place,,Los Angeles,CA,,3232980045,,,42,12788,,90008,http://egis3.lacounty.gov/lms/?p=12788,publish,34.004239,-118.331741,2010/11/01 19:50:56+00,,,6461124.47789305,1824088.9308389
-118.290463055862,33.8490849676357,11972,HSIP Freedom CollegesUniversities,378406,Education,Colleges and Universities,,LA County,Itt Technical Institute-Torrance,20050 S. Vermont Ave,,Torrance,CA,,3103801555,WWW.ITT-TECH.EDU,,897,12789,,90502,http://egis3.lacounty.gov/lms/?p=12789,publish,33.849085,-118.290463,2010/11/01 19:50:56+00,,,6473472.03882781,1767586.39587831
-118.462578055511,34.1532099665532,11973,HSIP Freedom CollegesUniversities,381945,Education,Colleges and Universities,,LA County,Los Angeles Ort Technical Institute-Sherman Oaks,"15130 Ventura Blvd,  Ste 250",,Sherman Oaks,CA,,8183826000,www.laort.edu,,54,12790,,91403,http://egis3.lacounty.gov/lms/?p=12790,publish,34.15321,-118.462578,2010/11/01 19:50:56+00,,,6421719.42054847,1878458.43332015
-117.960266056736,34.0100229673245,11974,HSIP Freedom CollegesUniversities,383084,Education,Colleges and Universities,,LA County,Hacienda La Puente Unified School District-Adult Education,15959 E Gale Ave,,City Of Industry,CA,,6269333914,www.hlpae.org,,1500,12791,,91745,http://egis3.lacounty.gov/lms/?p=12791,publish,34.010023,-117.960266,2010/11/01 19:50:56+00,,,6573712.31406863,1826030.31376715
-118.128975956343,34.0939721865819,11975,HSIP Freedom CollegesUniversities,393524,Education,Colleges and Universities,,LA County,Alhambra Beauty College,200 W Main St,,Alhambra,CA,,6262827765,,,101,12792,,91801,http://egis3.lacounty.gov/lms/?p=12792,publish,34.09397222,-118.1289759,2014/12/24 09:51:54+00,,,6522621.45758913,1856603.73982489
-118.272088056757,34.0562319666952,11976,HSIP Freedom CollegesUniversities,395690,Education,Colleges and Universities,,LA County,Diversified Language Institute,1670 Wilshire Blvd,,Los Angeles,CA,,2134136808,dliusa.com,,300,12793,,90017,http://egis3.lacounty.gov/lms/?p=12793,publish,34.056232,-118.272088,2010/11/01 19:50:56+00,,,6479255.59845489,1842955.84290814
-118.336208056269,34.097962966344,11977,HSIP Freedom CollegesUniversities,397641,Education,Colleges and Universities,,LA County,Los Angeles Recording School,6690 Sunset Boulevard,,Hollywood,CA,,3234645200,www.larecordingschool.com,,430,12794,,90028,http://egis3.lacounty.gov/lms/?p=12794,publish,34.097963,-118.336208,2010/11/01 19:50:56+00,,,6459884.68247239,1858201.23006822
-118.000614057328,34.1405279672237,11978,HSIP Freedom CollegesUniversities,398130,Education,Colleges and Universities,,LA County,Mt Sierra College,101 E Huntington Dr,,Monrovia,CA,,6268732144,www.mtsierra.edu,,458,12795,,91016,http://egis3.lacounty.gov/lms/?p=12795,publish,34.140528,-118.000614,2010/11/01 19:50:56+00,,,6561484.53504655,1873521.20238097
-118.220223056446,33.790992967405,11979,HSIP Freedom CollegesUniversities,398574,Education,Colleges and Universities,,LA County,Wyotech-Long Beach,2161 Technology Place,,Long Beach,CA,,5626249530,www.wyotech.edu/campus/long_beach,,405,12796,,90810,http://egis3.lacounty.gov/lms/?p=12796,publish,33.790993,-118.220223,2010/11/01 19:50:56+00,,,6494753.86535855,1746391.04981765
-118.442947055772,33.9928999672028,11980,HSIP Freedom CollegesUniversities,401250,Education,Colleges and Universities,,LA County,Yo San University Of Traditional Chinese Medicine,13315 W. Washington Boulevard,,Los Angeles,CA,,3105773000,www.yosan.edu,,141,12797,,90066,http://egis3.lacounty.gov/lms/?p=12797,publish,33.9929,-118.442947,2010/11/01 19:50:56+00,,,6427401.57027338,1820092.35681106
-118.262997056734,34.0365539667732,11981,HSIP Freedom CollegesUniversities,401339,Education,Colleges and Universities,,LA County,Coast Career Institute,1354 S Hill St,,Los Angeles,CA,,2137478676,,,50,12798,,90015,http://egis3.lacounty.gov/lms/?p=12798,publish,34.036554,-118.262997,2010/11/01 19:50:56+00,,,6481990.49521606,1835787.32935806
-118.298832056044,34.0617429672107,11982,HSIP Freedom CollegesUniversities,410502,Education,Colleges and Universities,,LA County,The Art Institute Of California-Hollywood,3440 Wilshire Blvd 10Th Fl,,Los Angeles,CA,,2132513636,www.aicdc.artinstitutes.edu,,1015,12799,,90010,http://egis3.lacounty.gov/lms/?p=12799,publish,34.061743,-118.298832,2010/11/01 19:50:56+00,,,6471160.89745273,1844984.39856231
-118.29507305637,34.0617829669864,11983,HSIP Freedom CollegesUniversities,411684,Education,Colleges and Universities,,LA County,Marian Health Careers Center,3325 Wilshire Blvd Ste 1010,,Los Angeles,CA,,2133883566,www.mariancollegecalifornia.com,,169,12800,,90010,http://egis3.lacounty.gov/lms/?p=12800,publish,34.061783,-118.295073,2010/11/01 19:50:56+00,,,6472299.4525903,1844995.59178139
-118.377050056101,33.9554109670555,11984,HSIP Freedom CollegesUniversities,413680,Education,Colleges and Universities,,LA County,Crimson Technical College,8911 Aviation Blvd,,Inglewood,CA,,8885491848,www.redstone.edu,,387,12801,,90301,http://egis3.lacounty.gov/lms/?p=12801,publish,33.955411,-118.37705,2010/11/01 19:50:56+00,,,6447325.38770914,1806367.93708147
-117.960479057527,34.096490967492,11985,HSIP Freedom CollegesUniversities,417105,Education,Colleges and Universities,,LA County,Baldwin Park Adult & Community Education,4640 Maine Ave,,Baldwin Park,CA,,6268564101,www.bpace.k12.ca.us,,1400,12802,,91706,http://egis3.lacounty.gov/lms/?p=12802,publish,34.096491,-117.960479,2010/11/01 19:50:56+00,,,6573635.38705714,1857497.67406064
-118.139592056364,34.1445729671391,11986,HSIP Freedom CollegesUniversities,423980,Education,Colleges and Universities,,LA County,California School Of Culinary Arts,521 East Green Street,,Pasadena,CA,,6262291300,www.csca.edu,,1995,12803,,91101,http://egis3.lacounty.gov/lms/?p=12803,publish,34.144573,-118.139592,2010/11/01 19:50:56+00,,,6519432.89080356,1875022.57765906
-118.44634205658,34.2216159668542,11987,HSIP Freedom CollegesUniversities,424424,Education,Colleges and Universities,,LA County,Kaplan College,14355 Roscoe Blvd,,Panorama City,CA,,8186723000,www.kc-panoramacity.com,,260,12804,,91402,http://egis3.lacounty.gov/lms/?p=12804,publish,34.221616,-118.446342,2010/11/01 19:50:56+00,,,6426742.05682863,1903330.16179182
-118.314928056255,33.8359799674567,11988,HSIP Freedom CollegesUniversities,430980,Education,Colleges and Universities,,LA County,Everest College-Torrance,1231 Cabrillo Ave Ste 201,,Torrance,CA,,3103203200,www.everest.edu/campus/torrance,,87,12805,,90501,http://egis3.lacounty.gov/lms/?p=12805,publish,33.83598,-118.314928,2010/11/01 19:50:56+00,,,6466028.38967314,1762839.54546389
-118.185043056598,33.8201129672019,11989,HSIP Freedom CollegesUniversities,433004,Education,Colleges and Universities,,LA County,American University Of Health Sciences,3501 Atlantic Ave.,,Long Beach,CA,,5629882278,auhs.edu,,74,12806,,90807,http://egis3.lacounty.gov/lms/?p=12806,publish,33.820113,-118.185043,2010/11/01 19:50:56+00,,,6505463.07687972,1756967.04047665
-118.462313056296,34.4073529664951,11990,HSIP Freedom CollegesUniversities,434317,Education,Colleges and Universities,,LA County,Clarita Career College,27125 Sierra Hwy Ste 329,,Canyon Country,CA,,6612521864,claritacareercollege.com,,193,12807,,91351,http://egis3.lacounty.gov/lms/?p=12807,publish,34.407353,-118.462313,2010/11/01 19:50:56+00,,,6422224.97071847,1970944.45766531
-118.328253056322,34.0980089671994,11991,HSIP Freedom CollegesUniversities,436429,Education,Colleges and Universities,,LA County,Los Angeles Film School,6363 Sunset Blvd,,Hollywood,CA,,8779523456,www.lafilm.com,,381,12808,,90028,http://egis3.lacounty.gov/lms/?p=12808,publish,34.098009,-118.328253,2010/11/01 19:50:56+00,,,6462293.07332489,1858210.01056248
-118.307570056204,34.0980869666042,11992,HSIP Freedom CollegesUniversities,437662,Education,Colleges and Universities,,LA County,Icdc College,5422 Sunset Blvd.,,Los Angeles,CA,,3234680404,www.icdccollege.com,,1750,12809,,90027,http://egis3.lacounty.gov/lms/?p=12809,publish,34.098087,-118.30757,2010/11/01 19:50:56+00,,,6468554.83376722,1858218.59191014
-118.30899805621,34.180618966433,11993,HSIP Freedom CollegesUniversities,437884,Education,Colleges and Universities,,LA County,Intercoast Colleges,"175 East Olive Avenue, 3Rd Floor",,Burbank,CA,,8185008400,INTERCOASTCOLLEGES.COM,,68,12810,,91502,http://egis3.lacounty.gov/lms/?p=12810,publish,34.180619,-118.308998,2010/11/01 19:50:56+00,,,6468214.84264931,1888254.68702155
-118.344685055632,34.068882967212,11994,HSIP Freedom CollegesUniversities,439367,Education,Colleges and Universities,,LA County,Community Based Education And Development Dba Cbd College,5724 W. Third Street # 314,,Los Angeles,CA,,3239377772,www.cbd.edu,,95,12811,,90036,http://egis3.lacounty.gov/lms/?p=12811,publish,34.068883,-118.344685,2010/11/01 19:50:56+00,,,6457282.02527614,1847627.22136064
-118.099824056825,33.874374967285,11995,HSIP Freedom CollegesUniversities,439871,Education,Colleges and Universities,,LA County,Pci College,17215 Studebaker Rd #310,,Cerritos,CA,,5629165055,www.pci-ed.com,,155,12812,,90703,http://egis3.lacounty.gov/lms/?p=12812,publish,33.874375,-118.099824,2010/11/01 19:50:56+00,,,6531368.15105373,1776677.67001855
-118.201384056216,33.932065967115,11996,HSIP Freedom CollegesUniversities,439905,Education,Colleges and Universities,,LA County,St. Francis Career College,3680 E. Imperial Highway,,Lynwood,CA,,3109008050,,,271,12813,,90262,http://egis3.lacounty.gov/lms/?p=12813,publish,33.932066,-118.201384,2010/11/01 19:50:56+00,,,6500581.08992456,1797718.91599372
-117.722572057969,34.0916869671999,11997,HSIP Freedom CollegesUniversities,440031,Education,Colleges and Universities,,LA County,Keck Graduate Institute,535 Watson Dr,,Claremont,CA,,9096077855,www.kgi.edu,,95,12814,,91711,http://egis3.lacounty.gov/lms/?p=12814,publish,34.091687,-117.722572,2010/11/01 19:50:56+00,,,6645666.91359746,1855862.9755584
-118.376161055711,34.0631659664459,11998,HSIP Freedom CollegesUniversities,441229,Education,Colleges and Universities,,LA County,West Coast Ultrasound Institute,291 S La Cienega Blvd Ste 500,,Beverly Hills,CA,,3102895123,WCUI.edu,,492,12815,,90211,http://egis3.lacounty.gov/lms/?p=12815,publish,34.063166,-118.376161,2010/11/01 19:50:56+00,,,6447741.73431739,1845580.88982339
-117.971811056607,34.13220796698,11999,HSIP Freedom CollegesUniversities,441238,Education,Colleges and Universities,,LA County,City Of Hope Graduate School Of Biological Sciences,1500 E. Duarte Rd.,,Duarte,CA,,6262564673,gradschool.coh.org,,69,12816,,91010,http://egis3.lacounty.gov/lms/?p=12816,publish,34.132208,-117.971811,2010/11/01 19:50:56+00,,,6570200.95659006,1870494.59754181
-118.043974056872,34.0914459673359,12000,HSIP Freedom CollegesUniversities,442204,Education,Colleges and Universities,,LA County,United Beauty College Inc,10229 Lower Azusa Road,,Temple City,CA,,6264430900,,,74,12817,,91780,http://egis3.lacounty.gov/lms/?p=12817,publish,34.091446,-118.043974,2010/11/01 19:50:56+00,,,6548356.31097497,1855662.26237714
-118.464756056208,34.0399749665267,12001,HSIP Freedom CollegesUniversities,442985,Education,Colleges and Universities,,LA County,California Healing Arts College,"12217 Santa Monica Blvd, Suite 206",,Los Angeles,CA,,3108267622,www.chac.edu,,31,12818,,90025,http://egis3.lacounty.gov/lms/?p=12818,publish,34.039975,-118.464756,2010/11/01 19:50:56+00,,,6420869.95013456,1837253.56363031
-118.04407305646,33.8920039676825,12002,HSIP Freedom CollegesUniversities,443207,Education,Colleges and Universities,,LA County,Ntma Training Centers Of Southern California,"13230 Firestone Blvd., Unit A",,Santa Fe Springs,CA,,5624044295,www.trainingcenters.org,,286,12819,,90670,http://egis3.lacounty.gov/lms/?p=12819,publish,33.892004,-118.044073,2010/11/01 19:50:56+00,,,6548294.51647913,1783081.17263147
-118.292383306063,34.0793069170404,12003,HSIP Freedom CollegesUniversities,443331,Education,Colleges and Universities,,LA County,West Coast University,4021 Rosewood Ave,,Los Angeles,CA,,8775054928,www.westcoastuniversity.edu,,864,12820,,90004,http://egis3.lacounty.gov/lms/?p=12820,publish,34.07930695,-118.29238325,2011/02/14 15:11:50+00,,,6473132.66417848,1851370.48519956
-118.236626056484,33.8958319674257,12004,HSIP Freedom CollegesUniversities,443517,Education,Colleges and Universities,,LA County,Universal College Of Beauty Inc,718 West Compton Blvd,,Compton,CA,,3232991737,,,15,12821,,90220,http://egis3.lacounty.gov/lms/?p=12821,publish,33.895832,-118.236626,2010/11/01 19:50:56+00,,,6489859.51031789,1784555.86128314
-117.938483056961,34.0690529670649,12005,HSIP Freedom CollegesUniversities,443571,Education,Colleges and Universities,,LA County,Intercoast Colleges,1400 W. West Covina Pkwy-2Nd Floor,,West Covina,CA,,6263376800,intercoastcolleges.com,,74,12822,,91790,http://egis3.lacounty.gov/lms/?p=12822,publish,34.069053,-117.938483,2010/11/01 19:50:56+00,,,6580300.82976297,1847515.81443122
-118.384566056526,33.987711966843,12006,HSIP Freedom CollegesUniversities,443863,Education,Colleges and Universities,,LA County,Gemological Institute Of America-Los Angeles,"600 Corporate Pointe, Suite 100",,Culver City,CA,,3106702100,www.gia.edu,,0,12823,,90230,http://egis3.lacounty.gov/lms/?p=12823,publish,33.987712,-118.384566,2010/11/01 19:50:56+00,,,6445091.05392322,1818131.50541781
-118.068320057001,33.905346967003,12007,HSIP Freedom CollegesUniversities,444325,Education,Colleges and Universities,,LA County,Ati College,12440 Firestone Blvd Ste 2001,,Norwalk,CA,,5628640506,www.ati.edu,,162,12824,,90650,http://egis3.lacounty.gov/lms/?p=12824,publish,33.905347,-118.06832,2010/11/01 19:50:56+00,,,6540939.04004839,1787941.1153394
-118.158222056092,33.915551967165,12008,HSIP Freedom CollegesUniversities,444343,Education,Colleges and Universities,,LA County,Advanced College,13180 Paramount Blvd.,,South Gate,CA,,5624086969,www.advancedcollege.edu,,147,12825,,90280,http://egis3.lacounty.gov/lms/?p=12825,publish,33.915552,-118.158222,2010/11/01 19:50:56+00,,,6513664.68317989,1791685.68560614
-118.293345056505,34.0636109667116,12009,HSIP Freedom CollegesUniversities,444510,Education,Colleges and Universities,,LA County,Ces College,"3251 West 6Th Street, Suite 202",,Los Angeles,CA,,2133815220,eduinla.com,,26,12826,,90020,http://egis3.lacounty.gov/lms/?p=12826,publish,34.063611,-118.293345,2010/11/01 19:50:56+00,,,6472824.76420373,1845659.30141197
-118.282705056048,34.0610619669082,12010,HSIP Freedom CollegesUniversities,444741,Education,Colleges and Universities,,LA County,Liberty Training Institute,2706 Wilshire Blvd,,Los Angeles,CA,,2133839545,,,150,12827,,90057,http://egis3.lacounty.gov/lms/?p=12827,publish,34.061062,-118.282705,2010/11/01 19:50:56+00,,,6476044.68952239,1844722.44108097
-118.141837056002,33.7901389670861,12011,HSIP Freedom CollegesUniversities,445106,Education,Colleges and Universities,,LA County,Brooks College,,,,CA,,,,,0,12828,,,http://egis3.lacounty.gov/lms/?p=12828,publish,33.790139,-118.141837,2010/11/01 19:50:56+00,,,6518571.60151564,1746037.3605644
-118.156435057553,34.6775189655391,12012,HSIP Freedom CollegesUniversities,446118,Education,Colleges and Universities,,LA County,Career Care Institute,43770 Fifteenth St W Ste 115,,Lancaster,CA,,6619426204,www.careercareinstitute.com,,337,12829,,93534,http://egis3.lacounty.gov/lms/?p=12829,publish,34.677519,-118.156435,2010/11/01 19:50:56+00,,,6514638.41351588,2068980.40201297
-118.372056056276,33.9770229665973,12013,HSIP Freedom CollegesUniversities,446358,Education,Colleges and Universities,,LA County,Ladera Career Paths Training Centers,6820 La Tijera Blvd Ste 217,,Los Angeles,CA,,3105680244,www.laderacareerpathsinc.com,,30,12830,,90045,http://egis3.lacounty.gov/lms/?p=12830,publish,33.977023,-118.372056,2010/11/01 19:50:56+00,,,6448868.98271905,1814227.30817373
-118.150389056425,34.1393299668514,12014,HSIP Freedom CollegesUniversities,446385,Education,Colleges and Universities,,LA County,Los Angeles Music Academy,370 S Fair Oaks Ave,,Pasadena,CA,,6265688850,www.lamusicacademy.edu,,140,12831,,91105,http://egis3.lacounty.gov/lms/?p=12831,publish,34.13933,-118.150389,2010/11/01 19:50:56+00,,,6516163.10633263,1873119.26814547
-118.273931056613,34.0570179669966,12015,HSIP Freedom CollegesUniversities,446622,Education,Colleges and Universities,,LA County,Walter Jay Md Institute An Educational Center,1930 Wilshire Blvd Ste 700,,Los Angeles,CA,,2133881369,,,123,12832,,90057,http://egis3.lacounty.gov/lms/?p=12832,publish,34.057018,-118.273931,2010/11/01 19:50:56+00,,,6478698.13959606,1843243.39876348
-118.451120055871,34.01893996722,12016,HSIP Freedom CollegesUniversities,447272,Education,Colleges and Universities,,LA County,Argosy University-Los Angeles,2950 31St Street,,Santa Monica,CA,,3108664000,www.argosy.edu/losangeles,,307,12833,,90405,http://egis3.lacounty.gov/lms/?p=12833,publish,34.01894,-118.45112,2010/11/01 19:50:56+00,,,6424966.66766289,1829579.76598582
-118.601563055455,34.1976009661042,12017,HSIP Freedom CollegesUniversities,447713,Education,Colleges and Universities,,LA County,California Career College,7003 Owensmouth Avenue,,Canoga Park,CA,,8187101310,,,135,12834,,91303,http://egis3.lacounty.gov/lms/?p=12834,publish,34.197601,-118.601563,2010/11/01 19:50:56+00,,,6379767.25346872,1894835.41303331
-118.043524057055,34.076402966923,12018,HSIP Freedom CollegesUniversities,447722,Education,Colleges and Universities,,LA County,Palladium Technical Academy,10507 Valley Blvd Ste 806,,El Monte,CA,,6264440880,,,62,12835,,91731,http://egis3.lacounty.gov/lms/?p=12835,publish,34.076403,-118.043524,2010/11/01 19:50:56+00,,,6548490.18734764,1850187.77070148
-118.309041056426,34.0447859671882,12019,HSIP Freedom CollegesUniversities,447731,Education,Colleges and Universities,,LA County,Palace Beauty College,1517 S Western Ave,,Los Angeles,CA,,3237312075,www.palacebeautycollege.com,,20,12836,,90006,http://egis3.lacounty.gov/lms/?p=12836,publish,34.044786,-118.309041,2010/11/01 19:50:56+00,,,6468049.86003964,1838822.79539998
-118.1385830567,33.9900619666532,12020,HSIP Freedom CollegesUniversities,447759,Education,Colleges and Universities,,LA County,National Polytechnic College,6630 Telegraph Road,,Commerce,CA,,3237289636,www.npcollege.edu,,108,12837,,90040,http://egis3.lacounty.gov/lms/?p=12837,publish,33.990062,-118.138583,2010/11/01 19:50:56+00,,,6519660.67053172,1818792.67273064
-118.308439056666,34.1806519668291,12021,HSIP Freedom CollegesUniversities,449366,Education,Colleges and Universities,,LA County,Make-Up Designory,129 S. San Fernando Blvd.,,Burbank,CA,,8187299420,www.mud.edu,,290,12838,,91502,http://egis3.lacounty.gov/lms/?p=12838,publish,34.180652,-118.308439,2010/11/01 19:50:56+00,,,6468383.9466418,1888266.17715606
-118.310823056118,34.1838659663486,12022,HSIP Freedom CollegesUniversities,449375,Education,Colleges and Universities,,LA County,Video Symphony Entertraining,266 E Magnolia Blvd,,Burbank,CA,,8185577200,www.videosymphony.com,,335,12839,,91502,http://egis3.lacounty.gov/lms/?p=12839,publish,34.183866,-118.310823,2010/11/01 19:50:56+00,,,6467666.53272231,1889438.02520606
-118.328870056437,34.0900149665182,12023,HSIP Freedom CollegesUniversities,449384,Education,Colleges and Universities,,LA County,Gnomon School Of Visual Effects,1015 N Cahuenga Blvd Ste 54301,,Hollywood,CA,,3234666663,gnomonschool.com,,73,12840,,90038,http://egis3.lacounty.gov/lms/?p=12840,publish,34.090015,-118.32887,2010/11/01 19:50:56+00,,,6462096.76170963,1855301.46946356
-118.31956805671,34.0617529665743,12024,HSIP Freedom CollegesUniversities,449409,Education,Colleges and Universities,,LA County,Meridian Institute,4201 Wilshire Blvd Ste 515,,Los Angeles,CA,,3239361624,,,30,12841,,90010,http://egis3.lacounty.gov/lms/?p=12841,publish,34.061753,-118.319568,2010/11/01 19:50:56+00,,,6464880.46545981,1845007.35652165
-118.559372055885,34.2282479664489,12025,HSIP Freedom CollegesUniversities,449418,Education,Colleges and Universities,,LA County,Academy Of Barbering Arts,19557 Parthenia St,,Northridge,CA,,8187759951,,,93,12842,,91324,http://egis3.lacounty.gov/lms/?p=12842,publish,34.228248,-118.559372,2010/11/01 19:50:56+00,,,6392587.06838022,1905914.56344715
-118.606016055737,34.2219989660892,12026,HSIP Freedom CollegesUniversities,449445,Education,Colleges and Universities,,LA County,Valley College Of Medical Careers,8399 Topanga Canyon Blvd Ste 200,,West Hills,CA,,8188839002,,,95,12843,,91304,http://egis3.lacounty.gov/lms/?p=12843,publish,34.221999,-118.606016,2010/11/01 19:50:56+00,,,6378474.28328563,1903722.21284498
-118.081860056774,34.0459109668948,12027,HSIP Freedom CollegesUniversities,449870,Education,Colleges and Universities,,LA County,University Of The West,1409 N Walnut Grove Ave,,Rosemead,CA,,6265718811,www.uwest.edu,,237,12844,,91770,http://egis3.lacounty.gov/lms/?p=12844,publish,34.045911,-118.08186,2010/11/01 19:50:56+00,,,6536872.06655505,1839098.38704039
-118.259383056329,33.8326969673457,12028,HSIP Freedom CollegesUniversities,450669,Education,Colleges and Universities,,LA County,Intercoast Colleges,One Civic Plaza-Ste 110,,Carson,CA,,3108478400,www.intercoastcolleges.com,,143,12845,,90745,http://egis3.lacounty.gov/lms/?p=12845,publish,33.832697,-118.259383,2010/11/01 19:50:56+00,,,6482893.98356655,1761596.5912569
